,player_id,name,position,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic
22626,18871,Jeff Robinson,TE,19930098,17,0,0,0,0,0,0,0,0,0,0,0,44,33,347,9,1,14,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205607477,0.154205607,1.621495327,0.042056075,0.004672897,0.065420561,0,0,0,0,0.030373832,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4,259,11.25,23.19178082,31.63,4.94,32,20,4.2,116,,,
22627,15012,R.W. McQuarters,DB,19980028,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1554,0,245,2166,3,3,2,2,17,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436363636,9.418181818,0,1.484848485,13.12727273,0.018181818,0.018181818,0.012121212,0.012121212,0.103030303,2.581818182,0,0,0,0,0,0,0,0,0,69.6,193,9.5,21.3369863,30.38,4.5,35.5,13,4.19,120,7.43,11.2,
22630,10895,Cedric James,WR,20010131,1,0,0,0,0,0,0,0,0,0,0,0,2,1,29,0,10,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,5.8,0,2,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3,204,,22.10684932,,4.49,43,,,134,,,
22632,18920,Brian Robison,DE,20070102,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,57,180,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011560694,0.040462428,0,0,0,0,0.329479769,1.040462428,0.462427746,0,0,0,0,0,0,0,0,0,0,0,75.13,259,,24.01917808,,4.72,40.5,27,4.26,121,6.89,,
22633,10606,Emil Igwenagu,FB,20120779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.25,249,,23.09863014,,4.7,34.5,19,4.4,121,7.32,,
22636,7741,Ben Gedeon,ILB,20170120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818,0.545454545,0,0,0,0,0,0,0,0,0,0,0,73.63,244,,22.54794521,,4.75,34.5,27,4.39,119,6.98,,
22637,11777,Johnathan Joseph,DB,20060024,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,75,30,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.731428571,0.428571429,0.171428571,3.457142857,0,0,0,0,0,0,0,0,0,71,193,,22.04931507,,4.37,37,15,4.23,123,6.92,,
22651,16734,Emmanuel Ogbah,DE,20160032,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365384615,1.769230769,1.384615385,0,0,0,0,0,0,0,0,0,0,0,76.25,273,,22.49041096,,4.63,35.5,20,4.5,121,7.26,,
22652,20674,Justin Smith,LB,20010004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,267,,21.57260274,,4.64,34,26,,117,,,
22654,24990,Zach Zenner,RB,20150940,3,0,0,0,0,0,0,0,0,127,450,5,32,26,261,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.703703704,16.66666667,0.185185185,1.185185185,0.962962963,9.666666667,0,0.037037037,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,223,,23.64383562,,4.6,41,25,4.14,121,7.08,,
22669,4113,Rich Coady,C-TE,19990068,5,0,0,0,0,0,0,0,0,0,0,0,0,6,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089552239,0.656716418,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.6,210,,23.23835616,,4.56,36,20,3.88,117,7.11,,
22677,22619,Kyle Turley,T-G,19980007,10,0,0,0,0,0,0,0,0,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008928571,0.008928571,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.9,309,9.5,22.58082192,35.13,4.95,32,26,4.43,112,7.75,,
22679,4833,Jeff Cross,DE,19880239,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450757576,0,0,0.007575758,0,0,0,0,0,0,0,0,0,0,75.6,261,10,22.09863014,,4.93,28,19,4.72,99,,,
22680,19784,Chris Scott,T,20100151,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.63,319,,22.73150685,,5.52,22.5,19,5.03,,8.24,,
22681,16701,Victor Ochi,LB,20160445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,73.13,246,,22.58630137,,4.86,32,,4.4,119,7.24,,
22682,24920,Theo Young,TE,19870317,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,231,9,22.02191781,34,4.89,30,9,4.2,107,,11.71,
22686,10261,Chris Houston,DB,20070041,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,51,13,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.663366337,0.504950495,0.128712871,2.722772277,0,0,0,0,0,0,0,0,0,69.88,185,,22.53972603,,4.37,36,27,4.12,122,6.94,,
22691,8200,Aaron Graham,C,19960112,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.4,284,9.38,22.92876712,32.63,5.5,23,,4.66,95,,,
22692,20059,Cameron Sheffield,LB,20100142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294117647,0.117647059,0,0,0,0,0,0,0,0,0,0,0,74.38,257,,22.20547945,,4.92,33,,4.53,115,7.23,,
22694,24493,DeMond Winston,LB,19900098,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1,239,9.88,21.61643836,32,4.84,34,10,4.27,117,,11.86,
22696,22196,Kevin Thompson,QB,19900162,1,1,1,8,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,189,9.5,24.03013699,30.5,,,,,,,,
22707,23468,Dennis Weathersby,DB,20030098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.6,204,,22.8739726,,4.39,38,9,4.08,125,7.13,,
