,Unnamed: 0,player_id,name,position,college,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic
1094,4329,6472,John Engelberger,DE,Virginia Tech,20000035,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,21.5,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014184397,0.09929078,0,0,0,0,0.15248227,0.170212766,0.04964539,0,0,0,0,0,0,0,0,0,0,0,76.3,260,9.78304,23.50684932,33.42385246,4.74,34,24,4.28,115,6.95,11.87125,
1095,4330,22045,Eric Thomas,DB,Tulane,19870049,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,3,0,0,19,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862069,-0.00862069,0,0,0,0,0.025862069,0,0,0.163793103,1.103448276,0,0,0,0,0,0,0,0,0,70.3,171,8.25,22.64109589,30.75,4.38,35,7,4.22,126,7.042195122,11.58,
1096,4336,13309,Myron Lewis,DB,Vanderbilt,20100067,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620689655,0,0,0,0,0,0,0,0,0,0,0,0,73.63,203,9.180858586,22.42465753,31.42202778,4.42,37,10,4.190455213,126,7.042195122,11.4970684,
1097,4338,7108,Jerry Fontenot,C-G,Texas A&M;,19890065,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,272,9.818837209,22.43561644,32.21309524,5.17,28,24,4.48,106,7.748333333,11.62,
1098,4343,6138,Dusty Dvoracek,DT,Oklahoma,20060073,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769230769,0.461538462,0,0,0,0,0,0,0,0,0,0,0,74.75,306,9.78304,23.17260274,33.42385246,5.07,34,31,4.35,110,7.62,11.87125,
1099,4344,21301,Tony Stewart,TE,Penn St.,20010147,9,0,0,0,0,0,0,0,0,0,0,0,121,76,623,3,7,62,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.043103448,0.655172414,5.370689655,0.025862069,0.060344828,0.534482759,0,0,0,0,0,0.017241379,0.00862069,0,0,0,0,0,0,0,0,0,0,0,77.5,256,9.9425,21.71506849,33.89451923,4.97,35.5,23.16,4.4,109,7.3,11.598,
1100,4345,12263,Andre King,WR,Miami (FL),20010245,4,0,0,0,0,0,0,0,0,0,0,0,46,31,343,0,36,701,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.069767442,0.720930233,7.976744186,0,0.837209302,16.30232558,0,0.023255814,0.348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.9,199,9.290307692,27.41917808,31.66167364,4.61,35.5,14.91558442,4.216081081,118.9414414,6.993472585,11.49209302,
1101,4347,4496,Andre Cooper,WR,Florida St.,19970406,1,0,0,0,0,0,0,0,0,0,0,0,17,9,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.9,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,195,9.25,21.84383562,35.63,4.540931507,34.74818049,14.91558442,4.216081081,118.9414414,6.993472585,11.49209302,
1102,4350,83,Mike Adams,WR,Texas,19970223,1,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,10,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,6.5,0,1.666666667,35.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,184,9.13,23.08767123,31.63,4.59,29.5,14.91558442,4.38,112,7.51,11.89,
1103,4354,6913,Jermichael Finley,TE,Texas,20080091,6,0,0,0,0,0,0,0,0,0,0,0,349,238,3026,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716216216,3.216216216,40.89189189,0.27027027,0,0,0,0,0,0,0,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,76.5,243,9.9425,21.10136986,33.89451923,4.86,27.5,20,4.38,117,7.15,11.598,
