,player_id,name,position,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,draft_year
23613,81,Michael Adams,DB,19870067,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,71,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,4.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,198,8.5,23.07671233,30.5,4.42,32.0,13.0,4.6,118.0,7.042195121951221,11.91,,1987
23616,15206,John Michels,T,19960027,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,282,10.63,23.10410959,33.88,5.12,26.5,25.0,4.66,108.0,7.870920245398778,11.598,,1996
23617,1314,John Baylor,DB,19880129,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,8,62,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.10810810810810811,0.8378378378378378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8,192,9.25,23.15342466,31.425782122904966,4.59,30.5,14.659430122116689,4.1,120.0,7.042195121951221,11.25,,1988
23623,587,Adam Archuleta,DB,20010020,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.0,0,0,4,113,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.1651376146788991,0.0,0.0,0.03669724770642202,1.036697247706422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9,211,9.183984771573627,23.41369863,31.425782122904966,4.46,35.154235145385584,31.0,4.190721649484534,118.9628681177977,7.042195121951221,11.498524590163933,,2001
23625,8767,Chris Hale,DB,19890193,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,251,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106382978723404,5.340425531914893,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6,161,9.183984771573627,23.31506849,31.425782122904966,4.52,40.5,8.0,4.11,129.0,7.042195121951221,11.39,,1989
23631,8820,Lemanski Hall,LB,19940220,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038834951456310676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.1,229,9.13,23.43013699,31.5,4.752523961661344,33.25938566552901,21.21631205673759,4.312656546489565,114.78682842287695,7.245243902439021,11.870966183574884,,1994
23636,10277,Bobbie Howard,LB,19990416,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.027777777777777776,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,232,9.575971731448787,21.85479452,32.34203773584907,4.74,30.0,16.0,4.48,110.0,7.52,11.870966183574884,,1999
23637,18443,Trevor Reilly,OLB,20140233,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,11,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.3055555555555556,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.75,245,9.575971731448787,26.32328767,32.34203773584907,4.67,33.25938566552901,26.0,4.312656546489565,114.78682842287695,7.245243902439021,11.870966183574884,,2014
23639,4438,J.R. Conrad,G,19960247,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3,322,9.25,22.22739726,31.5,5.31,22.0,22.0,4.84,95.0,7.880350877192982,11.45,,1996
23640,18829,A'Shawn Robinson,DT,20160046,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,47,25,1,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.6785714285714286,0.8928571428571429,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.63,307,9.783040000000007,21.12054795,33.42385245901642,5.2,26.0,22.0,4.74,106.0,7.8,11.871250000000002,,2016
