,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,player_id,name,position,combine_player_ids,combine_combine_ids,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attemps,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,Player,Pos,To,CarAV,DrAV,Age,Tm,Rnd,Pick,Year
490,483,483,1997,11576,Ernest Jones,DT-DE,19940100,12589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1,239,9.25,23.07945205,32.38,4.73,29.5,23,4.35,110,,12.31,,,,,,,,,,,
491,484,484,2000,5061,Darrell Daniels,TE,20170611,19693,0,0,0,0,0,0,0,0,0,0,0,12,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.13,247,,22.44657534,,4.55,32,17,4.47,116,7.09,,,,,,,,,,,,
492,485,485,2001,18371,Albert Reese,DT,19870832,10192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,254,10.75,,33,4.99,28.5,,4.42,107,,12.09,,,,,,,,,,,
493,486,486,2005,4350,Marques Colston,WR,20060252,15999,0,0,0,0,0,0,0,0,2,7,0,1194,769,10547,76,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,76.63,224,,22.91506849,,4.54,37,16,4.43,123,6.94,,,Marques Colston,WR,2015,72,72,23,NOR,7,252,2006
494,487,487,2009,19506,Patrick Sapp,LB,19960050,13285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1,258,9.38,22.95890411,31.25,4.9,29,20,4.59,110,,12.05,,Patrick Sapp,LB,1999,9,5,23,SDG,2,50,1996
495,488,488,2014,2425,Kenny Britt,WR,20090030,16798,0,0,0,0,0,0,0,0,2,14,0,601,325,5104,32,24,523,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,74.88,218,,20.6109589,,4.49,37,23,4.47,124,,,,Kenny Britt,WR,2017,35,20,20,TEN,1,30,2009
496,489,489,2015,21160,Joe Staysniak,G,19900185,11178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3,287,9.88,23.38630137,30.88,5.27,25,18,4.6,94,,,,Joe Staysniak,G,1996,17,,23,SDG,7,185,1990
497,490,490,2016,11343,Leon Johnson,E,19970104,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.8,209,9.5,22.78356164,32.5,4.68,34,,4.31,118,7.82,12.18,,,,,,,,,,,
498,491,491,2018,24888,Glen Young,WR,19930930,12423,0,0,0,0,0,0,0,0,0,0,0,0,11,317,2,118,2759,0,14,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,238,10,23.99726027,31.25,4.9,34,21,4.14,121,,11.39,,,,,,,,,,,
499,492,492,2021,723,Steve Atwater,DB,19890020,10598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,25,408,0,0,0,0,0,0,0,0,0,75.5,212,,22.50136986,,4.63,37.5,7,4.14,114,,10.96,,,,,,,,,,,
500,493,493,2029,2726,Rufus Brown,G,20040486,15421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,187,,23.78356164,,4.45,33,15,4.44,124,7.24,,,,,,,,,,,,
501,494,494,2033,15277,Arnold Miller,DE,19990449,14195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9,240,,24.30136986,,4.78,33.5,12,4.12,113,7.01,,,,,,,,,,,,
502,495,495,2035,24798,Dexter Wynn,DB,20040192,15671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1860,0,69,582,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,69.3,175,,23.17534247,,4.49,39,13,3.9,123,6.7,,,Dexter Wynn,DB,2008,4,3,23,PHI,6,192,2004
503,496,496,2040,7731,Kabeer Gbaja-Biamila,DE,20000149,14427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,7,2,1,72,0,0,0,0,0,0,0,0,0,76,243,,22.57260274,,4.65,34,21,4.28,120,6.9,,,Kabeer Gbaja-Biamila,DE,2008,43,43,22,GNB,5,149,2000
504,497,497,2043,18498,Kendall Reyes,DT,20120049,17899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,99,53,1,1,0,0,0,0,0,0,0,0,0,76.13,299,,22.59726027,,4.82,34.5,36,4.53,113,7.43,,,Kendall Reyes,DT,2016,22,22,22,SDG,2,49,2012
505,498,498,2046,19533,Craig Sauer,LB,19960188,13286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,73.5,226,9.25,23.31780822,32.38,,,,,,,,,Craig Sauer,LB,2000,9,9,23,ATL,6,188,1996
506,499,499,2047,18042,Loucheiz Purifoy,CB,20140585,18488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,71.5,190,,21.40547945,,4.61,35.5,6,,120,,,,,,,,,,,,,
507,500,500,2053,10909,Jesse James,TE,20150160,18736,0,0,0,0,0,0,0,0,0,0,0,129,87,799,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,261,,20.91780822,,4.83,37.5,26,4.5,121,7.53,,,Jesse James,TE,2021,11,10,21,PIT,5,160,2015
508,501,501,2058,13290,Jonathan Lewis,DT,20060177,16093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.13,309,,21.8109589,,4.99,33.5,24,4.4,111,7.4,,,Jonathan Lewis,DT,2006,0,0,22,ARI,6,177,2006
509,502,502,2062,21277,Andrew Stewart,DE,19890107,10835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9,256,,23.43835616,,4.82,40,30,4.51,120,,,,Andrew Stewart,DE,1989,2,2,23,CLE,4,107,1989
510,503,503,2064,17677,Joe Planansky,TE,19950879,12959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8,250,9.38,,32.88,5.1,31,8,4.28,116,,11.99,,,,,,,,,,,
511,504,504,2066,11160,Anthony Johnson,DT,20140620,18407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,74.5,308,,21.29863014,,5.24,24.5,20,4.83,101,7.93,,,,,,,,,,,,
512,505,505,2072,24368,Eugene Wilson,DB,20030036,15390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,31,16,139,0,0,0,0,0,0,0,0,0,70.4,192,,22.70410959,,4.46,38,15,4,122,7.18,,,Eugene Wilson,DB,2010,29,21,23,NWE,2,36,2003
513,506,506,2075,9348,Mike Hass,WR,20060171,16044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.63,208,,23.3369863,,4.64,32,,4.14,116,6.97,,,Mike Hass,WR,2009,0,,23,NOR,6,171,2006
514,507,507,2079,5020,Joe Dahl,OG,20160151,19383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.13,304,,23.06849315,,5.18,31,28,4.77,109,7.64,,,,,,,,,,,,
515,508,508,2081,23980,Andre Williams,RB,20140113,18564,0,0,0,0,0,0,0,0,325,1067,8,40,19,137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71.38,230,,21.70684932,,4.56,38,,4.06,128,7.27,,,Andre Williams,RB,2017,7,6,22,NYG,4,113,2014
516,509,509,2083,17588,Brett Pierce,TE,20040592,15571,0,0,0,0,0,0,0,0,0,0,0,3,2,15,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,250,,23.30958904,,4.95,27,19,4.39,103,7.15,,,,,,,,,,,,
517,510,510,2084,19872,Leon Searcy,T,19920011,11988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,296,9.5,22.36164384,34.5,5.19,25,,4.5,112,,,,Leon Searcy,T,1999,54,18,22,PIT,1,11,1992
518,511,511,2085,92,Sam Adams,DT-DE,19940008,12427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,3,62,0,0,0,0,0,0,0,0,0,74.3,292,8.5,20.87671233,33.25,,29.5,,4.57,103,,,,,,,,,,,,,
519,512,512,2089,18936,Isaac Rochell,DE,20170225,19884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76.38,280,,22.03287671,,4.89,31.5,25,,114,,,,,,,,,,,,,
520,513,513,2093,10647,Joey Iosefa,FB,20150231,18734,0,0,0,0,0,0,0,0,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.6,247,,23.87945205,,5.02,31.5,30,4.33,110,7.24,,,Joey Iosefa,FB,2015,0,,24,TAM,7,231,2015
521,514,514,2102,11380,Oscar Johnson,FB,20130685,18102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.25,331,,23.16712329,,5.49,22,,5.06,88,8.06,,,,,,,,,,,,
522,515,515,2104,14067,Sen'Derrick Marks,DT,20090062,16936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,150,53,1,-6,0,0,0,0,0,0,0,0,0,73.75,306,,22.18356164,,5,33,,,,,,,Sen'Derrick Marks,DT,2016,27,11,22,TEN,2,62,2009
523,516,516,2109,23338,James Washington,DB,19880137,10561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,233,0,0,0,0,0,0,0,0,0,72.9,191,7.5,23.30136986,,4.66,34,6,4.43,116,,11.98,,James Washington,DB,1995,32,2,23,RAM,5,137,1988
524,517,517,2114,1007,Tavian Banks,RB,19980101,13678,0,0,0,0,0,0,0,0,49,222,1,19,19,164,0,13,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6,198,9.63,24.18082192,31.88,4.48,39,15,3.95,125,7.34,11.06,,Tavian Banks,RB,1999,3,3,24,JAX,4,101,1998
525,518,518,2116,2879,Ray Buchanan,DB,19930065,12136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,0,35,426,0,3.5,0,0,47,827,0,0,0,0,0,0,0,0,0,69.3,193,8.63,21.58630137,32.88,4.5,36,10,4,127,,11.04,,Ray Buchanan,DB,2004,63,22,21,IND,3,65,1993
526,519,519,2117,8131,Charles Gordon,DB,20060536,16029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,109,0,16,67,0,0,17,1,2,0,0,0,0,0,0,0,0,0,0,70.13,183,,21.79452055,,4.64,35.5,12,4.2,115,6.95,,,,,,,,,,,,
527,520,520,2118,9864,Kahlil Hill,WR,20020184,14995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,200,,23.10684932,,4.67,35,,,,,,,Kahlil Hill,WR,2002,0,0,23,ATL,6,184,2002
528,521,521,2121,9148,Corey Harris,DB,19920077,11818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71.6,195,9,22.51780822,31.13,4.67,31,,3.95,114,,10.99,,Corey Harris,DB,2003,39,0,22,HOU,3,77,1992
529,522,522,2122,19952,Mark Setterstrom,G,20060242,16174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.75,314,,22.16986301,,5.4,26.5,19,4.53,100,7.63,,,Mark Setterstrom,G,2009,5,5,22,STL,7,242,2006
530,523,523,2123,6382,Jumbo Elliott,T,19880036,10349,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.9,305,10.75,23.07945205,,5.46,25,,4.81,98,,,,Jumbo Elliott,T,2002,62,41,23,NYG,2,36,1988
531,524,524,2128,9905,Ike Hilliard,WR,19970007,13467,0,0,0,0,0,0,0,0,17,125,0,943,570,6682,37,2,3,0,54,342,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,71.9,189,9.5,21.05205479,32.63,,,,,,,,,Ike Hilliard,WR,2008,43,32,21,NYG,1,7,1997
532,525,525,2130,5819,Torin Dorn,DB,19900095,10972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72,0,0,0,0,0,0,0,0,0,72.5,194,8.63,22.16164384,29.5,4.57,34.5,9,4.13,117,,11.25,,Torin Dorn,DB,1996,7,3,22,RAI,4,95,1990
533,526,526,2135,14949,David McMillan,DE,20050139,15851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,262,,23.60547945,,4.58,34,16,4.07,120,7.11,,,David McMillan,DE,2007,2,2,23,CLE,5,139,2005
534,527,527,2144,11580,Felix Jones,RB,20080022,16643,0,0,0,0,0,0,0,0,647,3129,12,176,140,1177,3,90,2092,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,70.13,207,,20.98356164,,4.5,33.5,,4.19,124,6.9,,,Felix Jones,RB,2013,27,26,21,DAL,1,22,2008
535,528,528,2145,15372,Zach Miller,TE,20070038,16383,0,0,0,0,0,0,0,0,0,0,0,526,345,4040,21,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,76.38,256,,21.39178082,,4.89,34,,4.42,115,7.01,,,Zach Miller,TE,2014,28,20,21,OAK,2,38,2007
536,528,528,2145,15372,Zach Miller,TE,20070038,16383,0,0,0,0,0,0,0,0,0,0,0,526,345,4040,21,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,76.38,256,,21.39178082,,4.89,34,,4.42,115,7.01,,,Zach Miller,TE,2017,12,3,24,JAX,6,180,2009
537,529,529,2156,19617,Ryan Schau,T-G,19990420,14260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,302,,23.31232877,,5.33,28,24,4.53,109,7.5,,,,,,,,,,,,
538,530,530,2159,11024,Dietrich Jells,WR,19960176,13182,0,0,0,0,0,0,0,0,2,9,0,44,14,247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.3,184,8.38,24.04109589,31.5,,,,,,,,,Dietrich Jells,WR,1999,1,,24,KAN,6,176,1996
539,531,531,2163,17089,Glenn Parker,G-T,19900069,11117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.4,295,9.63,24.01643836,33.5,5.21,27.5,,4.74,103,,,,,,,,,,,,,
540,532,532,2165,4704,Jason Craft,DB,19990160,14034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,53,9,14,133,0,0,0,0,0,0,0,0,0,69.6,178,,23.1890411,,4.53,37.5,14,4.2,113,6.97,,,Jason Craft,DB,2008,25,17,23,JAX,5,160,1999
541,533,533,2167,13137,Burnie Legette,RB,19930867,12271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.8,243,9.25,22.40273973,30.63,4.93,28.5,24,4.4,109,,11.59,,,,,,,,,,,
542,534,534,2169,17009,Anton Palepoi,DE,20020060,15065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,279,,23.43287671,,4.82,33.5,24,4.27,113,7.46,,,Anton Palepoi,DE,2005,4,2,24,SEA,2,60,2002
543,535,535,2170,6581,Jerry Evans,TE,19910204,11335,0,0,0,0,0,0,0,0,0,0,0,43,26,258,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,255,9.63,22.57534247,32,4.92,28,30,4.46,99,,12.07,,Jerry Evans,TE,1995,2,,22,PHO,8,204,1991
544,536,536,2173,7126,Fred Ford,HB,19960821,13131,0,1,0,39.6,0,0,0,0,40,189,2,0,1,5,0,19,422,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.4,196,10.75,23.31232877,35,4.66,32.5,13,4.5,116,,12.16,,,,,,,,,,,
545,537,537,2179,4041,Willie Clay,DB,19920221,11726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,0,8,69,0,1,0,0,29,443,0,1,0,0,0,0,0,0,0,69.9,184,7.63,21.65479452,29.63,4.78,34.5,9,4.13,119,,11.55,,Willie Clay,DB,1999,38,16,22,DET,8,221,1992
546,538,538,2180,19084,Barry Rose,WR,19920279,11973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,183,9.5,23.76164384,30.13,4.65,28.5,,4.18,112,,11.47,,Barry Rose,WR,1993,0,,24,BUF,10,279,1992
547,539,539,2188,19618,Matt Schaub,QB,20040090,15595,2156,3363,25472,9450.3,135,92,178,1235,194,362,4,1,1,-6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,77.6,243,,22.84657534,,5.05,30.5,,4.62,110,7.65,,30,Matt Schaub,QB,2020,68,3,23,ATL,3,90,2004
548,540,540,2194,9998,Tom Hodson,QB,19900059,11036,174,320,1823,1012.5,7,11,41,300,21,90,0,1,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,189,8.88,23.24657534,30.5,4.94,30.5,,4.4,110,,,,Tom Hodson,QB,1995,4,4,23,NWE,3,59,1990
549,541,541,2201,11316,Josh Johnson,DB,20130781,18099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5,4,0,0,0,0,0,0,0,0,0,0,0,69.38,199,,22.63835616,,4.65,35,16,4.25,114,6.99,,,,,,,,,,,,
550,542,542,2202,6418,Kevin Ellison,DB,20090189,16844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,10,0,0,0,0,0,0,0,0,0,0,0,72.88,227,,22.30958904,,4.8,,32,,,,,,,,,,,,,,,
551,543,543,2212,18140,Reggie Ragland,ILB,20160041,19545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,73.25,247,,22.60821918,,4.72,31.5,,4.28,116,,,,Reggie Ragland,ILB,2021,17,,22,BUF,2,41,2016
552,544,544,2213,5798,Kevin Donnalley,G-T,19910079,11324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,290,11,22.87671233,33.5,5.37,29,21,4.41,105,,,,,,,,,,,,,
553,545,545,2215,11264,Gartrell Johnson,RB,20090134,16906,0,0,0,0,0,0,0,0,24,83,0,5,3,6,0,1,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,70.25,219,,22.86027397,,4.75,34,20,,114,,,,Gartrell Johnson,RB,2010,0,,23,SDG,4,134,2009
554,546,546,2216,24004,Brian Williams,DB,20020105,15126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,111,22,20,323,0,0,0,0,0,0,0,0,0,71.6,207,,22.81643836,,4.58,39,19,4.2,122,7.21,,,Brian Williams,DB,2011,34,15,23,MIN,4,105,2002
555,547,547,2219,15678,Eric Moore,DE,20050186,15859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,7,0,0,0,0,0,0,0,0,0,0,0,76.3,268,,24.16438356,,4.85,29.5,22,4.5,105,7.62,,,Eric Moore,DE,2011,5,1,24,NYG,6,186,2005
556,548,548,2221,19645,Anthony Schlegel,LB,20060076,16172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,250,,25.17808219,,4.86,32,21,4.38,111,7.41,,,Anthony Schlegel,LB,2007,2,0,25,NYJ,3,76,2006
557,549,549,2222,9084,Alan Harper,DT,20020121,14979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.9,295,,22.63561644,,5.31,30.5,,4.64,104,,,,Alan Harper,DT,2004,1,1,23,NYJ,4,121,2002
558,550,550,2226,21937,Matt Tennant,C,20100158,17300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.63,300,,23.10958904,,5.15,25,27,4.62,98,7.6,,,Matt Tennant,C,2012,3,2,23,NOR,5,158,2010
559,551,551,2229,24148,Kerwynn Williams,RB,20130230,18248,0,0,0,0,0,0,0,0,136,637,4,22,14,91,0,25,480,0,21,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.13,196,,21.89315068,,4.48,35,17,4.15,118,7.15,,,Kerwynn Williams,RB,2017,6,0,22,IND,7,230,2013
560,552,552,2232,23773,James White,DT-NT,20140130,18562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,1,22,0,0,0,0,0,0,0,0,0,69.13,204,,22.2739726,,4.57,32,23,4.2,113,7.05,,,,,,,,,,,,
561,553,553,2239,1596,Nat Berhe,SS,20140152,18283,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,26,9,0,0,0,0,0,0,0,0,0,0,0,70.5,193,,22.85479452,,4.71,35.5,15,4.22,116,7.08,,,,,,,,,,,,
562,554,554,2241,5829,Phillip Dorsett,WR,20150029,18658,0,0,0,0,0,0,0,0,6,34,0,109,58,893,3,1,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,185,,22.32876712,,4.33,37,13,4.11,122,6.7,,,Phillip Dorsett,WR,2021,14,7,22,IND,1,29,2015
563,555,555,2245,7450,Will Fuller,WR,20160021,19412,0,0,0,0,0,0,0,0,3,6,0,136,71,1014,9,3,43,0,22,318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.13,186,,22.04931507,,4.32,33.5,10,4.27,126,6.93,,,Will Fuller,WR,2021,24,24,22,HOU,1,21,2016
564,556,556,2247,6938,Bryce Fisher,DE,19990248,14067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75.6,283,,21.94520548,,4.98,31,19,4.34,106,7.64,,,Bryce Fisher,DE,2007,26,2,22,BUF,7,248,1999
565,557,557,2249,20474,Stan Smagala,DB,19900123,11169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8,183,8.75,22.05753425,29.75,4.51,37.5,15,3.99,126,,11.05,,Stan Smagala,DB,1991,0,0,22,DAL,5,123,1990
566,558,558,2252,1116,Tavaris Barnes,DE,20150517,18585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,75.6,282,,23.50684932,,4.8,,,,,,,,,,,,,,,,,
567,559,559,2253,2826,Copeland Bryan,DE,20060484,15988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6,0,0,0,0,0,0,0,0,0,0,0,75.63,253,,22.80821918,,4.94,33,16,4.3,117,7.11,,,,,,,,,,,,
568,560,560,2255,233,Mike Alexander,WR,19880199,10270,0,0,0,0,0,0,0,0,0,0,0,0,16,302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,215,8,23.11506849,,4.57,25,11,4.57,104,,11.97,,Mike Alexander,WR,1991,3,3,23,RAI,8,199,1988
569,561,561,2258,7101,James Folston,LB,19940052,12543,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,74.8,235,10.13,22.70958904,34,4.62,34.5,25,4.34,115,,11.47,,James Folston,LB,2000,8,8,23,RAI,2,52,1994
570,562,562,2262,2905,Brentson Buckner,DT-DE-NT,19940050,12473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,2,37,0,0,0,0,0,0,0,0,0,74,300,9.63,22.58082192,33.5,5.21,27,26,4.88,108,,,,,,,,,,,,,
571,563,563,2263,10763,Eddie Jackson,SS,20170112,19773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,31,7,1,76,0,0,0,0,0,0,0,0,0,72,201,,24.39726027,,,,10,4.2,,,,,,,,,,,,,,
572,564,564,2270,23704,Kenny Wheaton,DB,19970094,13645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,0,69.6,189,8.25,22.13150685,30.13,4.76,32,8,4.23,108,7.45,11.5,,Kenny Wheaton,DB,1999,2,2,22,DAL,3,94,1997
573,565,565,2273,18135,Ian Rafferty,T-G,19990490,14243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,296,,22.63561644,,5.51,23.5,25,4.86,93,7.94,,,,,,,,,,,,
574,566,566,2285,17848,Mike Pouncey,OL,20110015,17554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,77,303,,21.77534247,,5.12,25,,4.64,96,7.66,,,,,,,,,,,,
